"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",2,43000000,"４ＬＤＫ",90,"1989年","ＲＣ","","","１種住居","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,50000000,"３ＬＤＫ",70,"2001年","ＳＲＣ","","","準工業","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,47000000,"３ＬＤＫ",75,"2001年","ＳＲＣ","","","準工業","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,11000000,"１ＤＫ",25,"1981年","ＳＲＣ","","","準工業","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,11000000,"１ＤＫ",25,"1981年","ＳＲＣ","","","","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",11,53000000,"３ＬＤＫ",95,"1999年","ＳＲＣ","","","１種住居","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,43000000,"３ＬＤＫ",65,"2008年","ＲＣ","","","準工業","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",12,28000000,"３ＤＫ",65,"1980年","ＳＲＣ","","","準工業","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,50000000,"３ＬＤＫ",85,"2005年","ＳＲＣ","","","１種住居","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,38000000,"３ＬＤＫ",75,"1981年","ＳＲＣ","","","準工業","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",3,36000000,"３ＬＤＫ",65,"1982年","ＳＲＣ","","","","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,50000000,"２ＬＤＫ＋Ｓ",75,"2008年","ＲＣ","","","準工業","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",3,34000000,"３ＬＤＫ",65,"1982年","ＳＲＣ","","","","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,55000000,"３ＬＤＫ＋Ｓ",80,"2008年","ＲＣ","","","準工業","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",11,53000000,"２ＬＤＫ",85,"2005年","ＲＣ","","","１種住居","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,50000000,"３ＬＤＫ",80,"2005年","ＳＲＣ","","","１種住居","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,54000000,"４ＬＤＫ＋Ｓ",95,"2005年","ＳＲＣ","","","１種住居","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,52000000,"３ＬＤＫ",85,"2005年","ＳＲＣ","","","１種住居","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",18,37000000,"３ＬＤＫ",75,"2005年","ＲＣ","","","準工業","","","2022年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島","",28000000,"３ＬＤＫ",75,"1982年","ＳＲＣ","","","準工業","","","2022年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",9,52000000,"２ＬＤＫ＋Ｓ",70,"2015年","ＲＣ","","","１種住居","","","2022年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",18,38000000,"３ＬＤＫ",70,"2005年","ＲＣ","","","準工業","","","2022年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",14,34000000,"３ＬＤＫ",75,"2003年","ＳＲＣ","","","準工業","","","2022年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",16,44000000,"２ＬＤＫ＋Ｓ",75,"2010年","","","","準工業","","","2022年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",9,50000000,"３ＬＤＫ",65,"2015年","ＲＣ","","","１種住居","","","2022年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",9,27000000,"３ＤＫ",65,"1987年","ＳＲＣ","","","準工業","","","2022年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",17,30000000,"３ＬＤＫ",85,"1982年","ＲＣ","","","準工業","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",15,46000000,"２ＬＤＫ",75,"2010年","ＳＲＣ","","","準工業","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",15,42000000,"３ＬＤＫ",75,"2010年","ＲＣ","","","","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",15,25000000,"２ＬＤＫ",60,"2009年","ＲＣ","","","準工業","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",7,43000000,"３ＬＤＫ",70,"2000年","ＳＲＣ","","","準工業","","","2023年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",10,58000000,"３ＬＤＫ",85,"2004年","ＲＣ","","","","","","2023年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,8700000,"１Ｒ",25,"1981年","ＲＣ","","","工業","","","2023年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,57000000,"４ＬＤＫ",95,"2005年","ＳＲＣ","","","１種住居","","","2023年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",11,61000000,"５ＬＤＫ",95,"2005年","ＲＣ","","","１種住居","","","2023年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,44000000,"３ＬＤＫ",75,"2005年","ＲＣ","","","１種住居","","","2023年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",11,44000000,"３ＬＤＫ",80,"1999年","ＳＲＣ","","","１種住居","","","2023年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",9,54000000,"３ＬＤＫ",85,"2008年","ＲＣ","","","準工業","","","2023年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,47000000,"３ＬＤＫ",85,"1981年","ＳＲＣ","","","準工業","","","2023年第2四半期","改装済み",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",3,31000000,"２ＬＤＫ",60,"1986年","ＳＲＣ","","","１種住居","","","2023年第2四半期","改装済み",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",2,42000000,"３ＬＤＫ",70,"1986年","ＳＲＣ","","","１種住居","","","2023年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",2,37000000,"３ＤＫ",65,"1982年","ＳＲＣ","","","","","","2023年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,39000000,"３ＬＤＫ",75,"1981年","ＳＲＣ","","","準工業","","","2023年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",6,44000000,"４ＬＤＫ",95,"1981年","ＳＲＣ","","","準工業","","","2023年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",12,8400000,"１Ｒ",20,"1989年","ＳＲＣ","","","商業","","","2023年第2四半期","",""
