種類,価格情報区分,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,間取り,面積（㎡）,建築年,建物の構造,用途,今後の利用目的,都市計画,建ぺい率（％）,容積率（％）,取引時期,改装,取引の事情等,単価（円/㎡）
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,15.0,"29,000,000",３ＬＤＫ,75,1999年,ＳＲＣ,,,準工業,,,2021年第3四半期,,,"386,666"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,9.0,"45,000,000",３ＬＤＫ,65,2015年,ＲＣ,,,１種住居,,,2021年第3四半期,,,"692,307"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,14.0,"39,000,000",３ＬＤＫ,90,2003年,ＲＣ,,,準工業,,,2021年第4四半期,,,"433,333"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,17.0,"32,000,000",３ＬＤＫ,70,1996年,ＳＲＣ,,,準工業,,,2021年第4四半期,,,"457,142"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,10.0,"28,000,000",３ＬＤＫ,65,1982年,ＳＲＣ,,,準工業,,,2021年第4四半期,,,"430,769"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,9.0,"29,000,000",３ＤＫ,65,1987年,ＳＲＣ,,,準工業,,,2021年第4四半期,,,"446,153"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,15.0,"33,000,000",３ＬＤＫ,70,2009年,ＲＣ,,,準工業,,,2021年第4四半期,,,"471,428"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"23,000,000",１Ｋ,30,2002年,ＲＣ,,,商業,,,2022年第1四半期,,,"766,666"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,9.0,"62,000,000",３ＬＤＫ＋Ｓ,95,2005年,ＳＲＣ,,,１種住居,,,2022年第1四半期,,,"652,631"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,9.0,"66,000,000",４ＬＤＫ,100,2005年,ＲＣ,,,１種住居,,,2022年第1四半期,,,"660,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"42,000,000",２ＬＤＫ,70,2003年,ＲＣ,,,準工業,,,2022年第1四半期,,,"600,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"46,000,000",３ＬＤＫ,80,2005年,ＲＣ,,,１種住居,,,2022年第1四半期,,,"575,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,8.0,"49,000,000",３ＬＤＫ,75,2009年,ＲＣ,,,準工業,,,2022年第1四半期,,,"653,333"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"41,000,000",１ＬＤＫ＋Ｓ,70,1986年,ＳＲＣ,,,１種住居,,,2022年第2四半期,,,"585,714"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"36,000,000",３ＬＤＫ,75,1981年,ＳＲＣ,,,準工業,,,2022年第2四半期,,,"480,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"39,000,000",３ＬＤＫ,65,2001年,ＳＲＣ,,,準工業,,,2022年第2四半期,,,"600,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"36,000,000",１ＬＤＫ＋Ｓ,65,1981年,ＳＲＣ,,,商業,,,2022年第2四半期,,,"553,846"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"49,000,000",２ＬＤＫ＋Ｓ,80,2008年,ＲＣ,,,準工業,,,2022年第2四半期,,,"612,500"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"23,000,000",１Ｒ,30,2002年,ＲＣ,,,準工業,,,2022年第2四半期,,,"766,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"43,000,000",４ＬＤＫ,90,1989年,ＲＣ,,,１種住居,,,2022年第3四半期,,,"477,777"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"50,000,000",３ＬＤＫ,70,2001年,ＳＲＣ,,,準工業,,,2022年第3四半期,,,"714,285"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"47,000,000",３ＬＤＫ,75,2001年,ＳＲＣ,,,準工業,,,2022年第3四半期,,,"626,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"11,000,000",１ＤＫ,25,1981年,ＳＲＣ,,,準工業,,,2022年第3四半期,,,"440,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"11,000,000",１ＤＫ,25,1981年,ＳＲＣ,,,,,,2022年第3四半期,,,"440,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,11.0,"53,000,000",３ＬＤＫ,95,1999年,ＳＲＣ,,,１種住居,,,2022年第3四半期,,,"557,894"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"43,000,000",３ＬＤＫ,65,2008年,ＲＣ,,,準工業,,,2022年第3四半期,,,"661,538"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,12.0,"28,000,000",３ＤＫ,65,1980年,ＳＲＣ,,,準工業,,,2022年第3四半期,,,"430,769"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"50,000,000",３ＬＤＫ,85,2005年,ＳＲＣ,,,１種住居,,,2022年第3四半期,,,"588,235"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"38,000,000",３ＬＤＫ,75,1981年,ＳＲＣ,,,準工業,,,2022年第4四半期,,,"506,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,3.0,"36,000,000",３ＬＤＫ,65,1982年,ＳＲＣ,,,,,,2022年第4四半期,,,"553,846"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"50,000,000",２ＬＤＫ＋Ｓ,75,2008年,ＲＣ,,,準工業,,,2022年第4四半期,,,"666,666"
