Actual Price,Predicted Price
71000000,71572000
59000000,54571000
26000000,25230000
73000000,90936000
55000000,42400000
39000000,30305666
30000000,29445000
24000000,31787500
77000000,84265166
51000000,46358000
31000000,36160000
22000000,27707000
20000000,10436000
35000000,37370000
98000000,61596666
24000000,27463333
83000000,56130000
90000000,40880000
62000000,76780000
25000000,22170000
42000000,36433500
33000000,23880000
100000000,110351428
73000000,79110000
35000000,54062500
91000000,74000000
62000000,59330000
40000000,46812000
50000000,55500000
20000000,27176166
160000000,140590000
7100000,9505000
45000000,45073333
130000000,99350000
32000000,25019666
35000000,43020000
56000000,76175000
30000000,43633333
11000000,11447000
120000000,119380476
66000000,60528571
56000000,31465000
21000000,25776000
85000000,80113666
46000000,25880000
110000000,81120000
32000000,34090000
43000000,46390000
75000000,63985000
30000000,26425000
93000000,148985000
23000000,20704333
52000000,52960000
32000000,37783333
61000000,63990000
18000000,20430000
29000000,26950000
37000000,39630000
240000000,215786666
40000000,59090000
95000000,133610000
79000000,98169214
12000000,17525000
45000000,42050000
33000000,57620000
19000000,30834857
44000000,49986000
100000000,94606666
38000000,52686761
22000000,25830000
86000000,132061666
75000000,60850000
39000000,41726000
95000000,119866111
56000000,48980000
53000000,69070000
40000000,36075833
53000000,50450000
61000000,54188333
76000000,68192000
18000000,15995000
60000000,40785000
33000000,28950000
46000000,63420000
66000000,63010000
64000000,86990000
89000000,98971666
49000000,50440000
60000000,50250000
50000000,48940000
66000000,49260000
52000000,43560000
25000000,25472000
20000000,21725000
11000000,11669000
38000000,32383000
57000000,67380000
45000000,53090000
90000000,45276000
52000000,72950000
89000000,85918833
65000000,59010000
75000000,90330000
65000000,58710000
42000000,41140000
6800000,13371000
68000000,60650000
39000000,32158333
44000000,48150000
160000000,141750000
80000000,140120000
47000000,41675000
22000000,25392000
25000000,26843500
65000000,93060000
73000000,80592500
38000000,48946666
32000000,43736666
55000000,53610000
85000000,24910000
30000000,34840000
8000000,10508000
10000000,20530000
28000000,25663750
20000000,40766000
57000000,42365000
36000000,35980000
77000000,92720000
49000000,51095998
140000000,102193333
23000000,25230000
120000000,112815000
20000000,25010000
23000000,27360000
30000000,27300000
20000000,20173333
110000000,118183333
49000000,49220000
17000000,16686000
89000000,84876666
25000000,47112000
42000000,38117500
110000000,138480000
35000000,31718000
32000000,35650000
24000000,25215000
73000000,81236666
130000000,136255000
23000000,19468000
110000000,94360000
46000000,57790000
65000000,57755000
32000000,49216666
23000000,69020000
47000000,55490000
70000000,65885333
81000000,60723416
11000000,45600000
52000000,51423333
19000000,19299000
36000000,32670000
43000000,59367166
24000000,22930000
66000000,79166000
130000000,149815000
60000000,59447500
65000000,73633809
28000000,29555000
26000000,24470000
44000000,68170000
27000000,26433000
68000000,67680000
46000000,36491666
55000000,54280000
220000000,163410000
94000000,76939666
14000000,24455000
49000000,175860000
31000000,24075000
6000000,11280000
31000000,25805000
54000000,55270000
33000000,63310000
14000000,18468000
32000000,40920000
56000000,67520000
80000000,47040000
51000000,60090000
72000000,78260000
50000000,56404166
37000000,34098333
35000000,70390000
60000000,51940000
29000000,29052500
31000000,106874166
28000000,28300500
96000000,84797500
24000000,23400000
74000000,77220000
42000000,43503000
40000000,59202500
62000000,85734476
59000000,38911666
7700000,10353000
38000000,32830000
56000000,54170833
32000000,41530000
63000000,50618000
68000000,59380000
33000000,28834000
12000000,26151571
40000000,38230000
91000000,69220000
52000000,49185000
24000000,30240000
180000000,109873690
110000000,94625833
30000000,29590000
54000000,66963809
99000000,65210000
23000000,28466000
40000000,39490000
44000000,45350000
45000000,64480000
94000000,99940666
24000000,23412666
69000000,88610000
22000000,22694166
160000000,149735833
85000000,126401666
90000000,73795630
8900000,9400666
38000000,33768666
57000000,66772000
25000000,30060500
73000000,66895000
28000000,47883333
22000000,24458333
45000000,59740666
16000000,21115000
33000000,31520000
30000000,37050000
53000000,52350000
35000000,41364000
63000000,65190000
32000000,29604000
25000000,20014000
44000000,32840000
140000000,160950000
35000000,24711000
65000000,59947000
56000000,55075714
60000000,37180000
33000000,30751466
46000000,50050000
8400000,17363000
35000000,46904000
83000000,137100000
26000000,25202333
52000000,51890000
40000000,43370000
42000000,34742000
100000000,97540000
19000000,21961000
71000000,77970000
50000000,47490000
57000000,67922500
8500000,9646000
31000000,42450000
21000000,21755000
57000000,75310000
26000000,10688000
35000000,28310000
23000000,23670000
12000000,30210000
21000000,19685000
45000000,53250000
76000000,74600000
51000000,74480000
79000000,71300000
38000000,56001166
160000000,136580000
64000000,65930000
90000000,86942500
8400000,10685000
79000000,116246666
45000000,61323333
30000000,26114833
58000000,56433333
14000000,16749000
44000000,43320000
74000000,76985000
29000000,30340000
34000000,38380000
160000000,146906831
87000000,74113333
37000000,67690000
32000000,31661166
90000000,125148333
62000000,70498000
16000000,21341600
6500000,8102666
32000000,31394166
49000000,49680000
24000000,26934333
36000000,30590000
96000000,93476666
52000000,50459000
32000000,23345000
45000000,56889500
20000000,26668666
59000000,50582000
42000000,46020000
120000000,111285000
37000000,59335000
41000000,39580000
50000000,52410000
54000000,64690000
120000000,95865000
39000000,28058000
21000000,22419500
89000000,61380000
26000000,27870000
44000000,29105666
85000000,107380047
90000000,98640000
35000000,24910000
150000000,117106666
5500000,9925000
60000000,45228000
98000000,90526666
53000000,42760000
71000000,59720000
140000000,120173333
100000000,123320000
22000000,26794000
110000000,87670000
18000000,39503095
120000000,88634166
70000000,64549273
74000000,57132666
75000000,65151250
37000000,49570000
27000000,34220000
110000000,95975000
140000000,104321500
47000000,48740000
25000000,24870000
55000000,65770000
45000000,52915000
25000000,22752500
35000000,30897000
140000000,100565000
63000000,48895000
15000000,15545333
130000000,66950000
40000000,18244000
5300000,12848000
100000000,114113333
28000000,26538327
50000000,45570000
78000000,37928000
79000000,82353333
27000000,26404880
66000000,77673666
33000000,65770000
32000000,48770000
62000000,53230000
120000000,106836666
22000000,25702500
47000000,71400000
68000000,73700000
45000000,52800000
77000000,69940000
65000000,83490000
68000000,66870000
28000000,33378333
50000000,57098333
88000000,56270000
32000000,41586666
34000000,41625833
39000000,30770000
35000000,36630000
10000000,11521000
28000000,27040833
42000000,32080000
41000000,39372000
60000000,74745714
37000000,47960000
53000000,64693333
75000000,54202000
25000000,25019666
22000000,21020000
61000000,98873666
50000000,36752857
58000000,47275000
34000000,36990000
99000000,103382500
44000000,47240000
49000000,48856666
34000000,105847500
15000000,17540000
75000000,68730000
80000000,68700000
30000000,35770000
39000000,91210000
38000000,28219000
31000000,47410000
120000000,103954090
37000000,67050000
75000000,73950000
61000000,72465000
110000000,76170000
9500000,17192000
69000000,50130000
3800000,8028000
24000000,24840000
49000000,50790000
36000000,29303333
15000000,31590000
47000000,51200000
49000000,40820000
44000000,70916500
82000000,99092500
110000000,100370000
30000000,24817000
59000000,58569333
84000000,91696190
25000000,19976666
100000000,110061666
84000000,85333333
34000000,41820000
31000000,30554000
33000000,30902000
40000000,38801250
60000000,52671190
92000000,77150000
84000000,113008333
33000000,40270000
140000000,126496666
57000000,52203333
220000000,149970000
67000000,87733333
60000000,71180000
31000000,38424166
48000000,60330000
170000000,187780000
63000000,69325000
50000000,52590000
30000000,39290000
19000000,38440000
53000000,49413333
10000000,19490000
26000000,61740000
28000000,27832500
17000000,28550000
20000000,29470000
70000000,57880000
33000000,29726133
30000000,50140000
100000000,88188333
8000000,15802000
41000000,43250000
80000000,75310000
44000000,29963515
26000000,26110000
63000000,58030000
79000000,62183333
26000000,24800000
170000000,121020000
82000000,94788166
36000000,29300000
35000000,35627500
74000000,68345000
90000000,89560000
58000000,57598333
48000000,51664166
65000000,41120000
18000000,24213000
80000000,56460000
54000000,48040000
50000000,57730000
12000000,23784000
41000000,28548333
26000000,26610000
15000000,17198000
70000000,70600000
39000000,50522500
52000000,45910000
30000000,18780000
76000000,60490000
130000000,124080000
70000000,67812000
26000000,25220000
43000000,57340000
99000000,84163833
69000000,41740000
41000000,42547500
130000000,112050476
49000000,54333333
75000000,64640000
36000000,45200000
120000000,110830000
25000000,44570000
37000000,52785000
35000000,41100000
48000000,43750000
83000000,57150000
44000000,40990000
45000000,53960000
34000000,29800000
20000000,23740000
30000000,31385773
42000000,50168333
16000000,23507000
52000000,60244000
41000000,59020000
53000000,62850000
100000000,104689666
120000000,94520000
63000000,54393000
100000000,91080000
25000000,30100000
30000000,45241845
14000000,15079700
40000000,38440000
92000000,90120000
5900000,24359000
60000000,68570000
26000000,38280000
48000000,47720000
34000000,34858666
37000000,47970000
30000000,116150000
63000000,60430000
41000000,60136666
84000000,72310000
110000000,88188333
31000000,33999634
67000000,70460000
190000000,147550000
3500000,10043666
44000000,68496666
24000000,25083333
8600000,20375000
33000000,28730000
50000000,65420000
27000000,30670000
69000000,68252857
83000000,65596880
54000000,52400000
70000000,86230000
27000000,39630000
34000000,22140238
23000000,20650000
44000000,55572000
33000000,42891000
45000000,36330000
99000000,82606666
11000000,14508000
26000000,23177666
48000000,45642000
23000000,24340000
110000000,111653000
33000000,49870000
24000000,21836000
48000000,69686000
34000000,35110000
38000000,43240000
34000000,56668571
26000000,43863333
22000000,32425000
45000000,53900000
49000000,54760000
43000000,89533333
31000000,27590000
30000000,26840000
50000000,54625000
130000000,129425000
73000000,83345000
80000000,82030000
32000000,45393333
42000000,82600333
35000000,47350000
130000000,65180000
33000000,86930000
39000000,41520000
77000000,76710500
98000000,96970833
40000000,36254250
46000000,44210000
83000000,68840000
92000000,102877785
33000000,30455750
97000000,71340857
23000000,23043333
170000000,168856666
26000000,21143000
140000000,114618333
48000000,48842000
83000000,79000000
46000000,53960000
70000000,62030000
39000000,54042500
37000000,40620000
54000000,46355000
32000000,33968333
34000000,42515333
96000000,106926666
29000000,19936000
50000000,40710000
59000000,37170666
44000000,48081500
68000000,73633809
110000000,113989000
50000000,63440000
17000000,17611666
60000000,63850000
38000000,36910000
70000000,72960000
75000000,68100000
65000000,72990000
95000000,87320000
48000000,66030000
33000000,35090000
36000000,64783333
54000000,29718333
58000000,49290000
